Location,LocationResultCount,Latitude,Longitude,URL,ImageURL,Title
"Indonesia",6059,-5.0000,120.0000,"https://www.liputan6.com/showbiz/read/5822753/onad-lawan-bobby-saputra-di-superstar-knock-out-vol2-game-of-fame-percaya-diri-akan-menang-dibantu-doa-habib-jafar","https://cdn0-production-images-kly.akamaized.net/Xqw6xIleIPeAA7B-3ZD_oBxb4Z4=/1x79:1080x687/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5038790/original/095455500_1733479399-Snapinsta.app_466663605_1275185706853862_1360791326915533313_n_1080.jpg","Onad Lawan Bobby Saputra di Superstar Knock Out Vol . 2 : Game of Fame Percaya Diri akan Menang Dibantu Doa Habib Jafar"
"Jakarta, Jakarta Raya, Indonesia",904,-6.1744,106.8290,"https://www.chinaz.com/tags/915799.shtml","","印尼经济最新资讯 _ 印尼经济最新动态 _ 印尼"
"Jakarta, Jakarta Raya, Indonesia",904,-6.1744,106.8290,"https://www.cnnindonesia.com/olahraga/20241206143034-142-1174540/tiket-vietnam-vs-indonesia-di-piala-aff-2024-sold-out","https://akcdn.detik.net.id/visual/2024/03/26/vietnam-vs-indonesia-1_169.jpeg","Tiket Vietnam vs Indonesia di Piala AFF 2024 Sold Out"
"Jakarta, Jakarta Raya, Indonesia",904,-6.1744,106.8290,"https://www.merdeka.com/sepakbola/bangga-momen-skuad-timnas-indonesia-putri-tiba-di-jakarta-bawa-trofi-juara-piala-aff-wanita-2024-252963-mvk.html","https://cdns.klimg.com/mav-prod-resized/0x0/ori/image_bank/2024/12/07/062035.953-bawa-trofi-juara-piala-aff-wanita-2024-skuad-timnas-indonesia-putri-tiba-di-jakarta-1.JPG","Bangga ! Momen Skuad Timnas Indonesia Putri Tiba di Jakarta , Bawa Trofi Juara Piala AFF Wanita 2024"
"Jakarta, Jakarta Raya, Indonesia",904,-6.1744,106.8290,"https://www.liputan6.com/tekno/read/5822357/top-3-tekno-ini-dampak-iphone-16-masih-ilegal-di-indonesia","https://cdn1-production-images-kly.akamaized.net/DK-8EawLbSk8txtlBJWZbr7mWrc=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/4573058/original/005273900_1694547551-Apple-iPhone-15-Pro-lineup-color-lineup-230912_big.jpg.large.jpg","Top 3 Tekno : Ini Dampak iPhone 16 Masih Ilegal di Indonesia"
"Japan",481,36.0000,138.0000,"https://www.merdeka.com/gaya/sering-dikira-brand-luar-ini-10-brand-fashion-asli-indonesia-yang-mendunia-228816-mvk.html","https://cdns.klimg.com/mav-prod-resized/0x0/ori/newsCover/2024/12/6/1733493847351-bhmfp.jpeg","Sering Dikira Brand Luar , Ini 10 Brand Fashion Asli Indonesia yang Mendunia"
"Japan",481,36.0000,138.0000,"https://www.710wfnr.com/html/83f7299844.html","","Berapa umur Indonesia 2023 . DATA HK PAITO 6D 2024 bonus depo 25 . Y89 SLOTS slot maxwin olympus - qiu qiu pro versi lama"
"Japan",481,36.0000,138.0000,"https://koran-jakarta.com/presiden-prabowo-sangat-menghargai-partisipasi-pemerintah-dan-sektor-swasta-jepang-berinvestasi-di-indonesia","https://img.koran-jakarta.com/images/image-cover/2024-12/1733506215_7f90ab7a26a9b392fa9f.jpg","Presiden Prabowo Sangat Menghargai Partisipasi Pemerintah dan Sektor Swasta Jepang Berinvestasi di Indonesia"
"Japan",481,36.0000,138.0000,"https://mediapurwodadi.pikiran-rakyat.com/nasional/pr-1868851103/penguatan-hubungan-indonesia-jepang-presiden-prabowo-gelar-jamuan-santap-siang-bersama-japinda-dan-jjc","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/2636267884.jpg","Penguatan Hubungan Indonesia - Jepang , Presiden Prabowo Gelar Jamuan Santap Siang Bersama JAPINDA dan JJC"
"Philippines",448,13.0000,122.0000,"https://www.merdeka.com/peristiwa/foto-indonesia-dan-filipina-resmi-sepakati-pemulangan-terpidana-mati-kasus-narkoba-mary-jane-veloso-252866-mvk.html","https://cdns.klimg.com/mav-prod-resized/0x0/ori/newsCover/2024/12/6/1733498807922-dt88q.jpeg","FOTO : Indonesia dan Filipina Resmi Sepakati Pemulangan Terpidana Mati Kasus Narkoba Mary Jane Veloso"
"China",382,35.0000,105.0000,"https://pressrelease.kontan.co.id/news/seni-jadi-jembatan-persahabatan-china-asean","https://foto.kontan.co.id/sqnni747m4eOqFBDNrlQL3FsTEY=/smart/2024/12/06/755714458p.jpg","Seni Jadi Jembatan Persahabatan China - ASEAN"
"China",382,35.0000,105.0000,"https://www.tempo.co/ekonomi/kerugian-negara-barang-impor-ilegal-1177746","https://images-tm.tempo.co/all/2024/12/05/876085/876085_1200.jpg","Kerugian Negara Barang Impor Ilegal"
"China",382,35.0000,105.0000,"http://www.shangbaoindonesia.com/read/2024/12/06/chinese-community-1733495797","https://sb-a16y6q7k5z00x2.s3.ap-southeast-1.amazonaws.com/news_images/7/78439/1.jpg","深圳市企业考察团一行拜访印尼中华总商会"
"China",382,35.0000,105.0000,"https://newtalk.tw/news/view/2024-12-06/947795","https://s.newtalk.tw/album/news/869/64b8fa3f610b8.jpg","Temu 、 Shein中國電商鑽漏洞 ! 越南整頓急喊停 「 這國家 」 也要跟進 ..... | 國際"
"Thailand",173,15.0000,100.0000,"https://www.aboluowang.com/2024/1206/2140845.html","https://m1.aboluowang.com/uploadfile/2024/1204/20241204140333496.jpg","苹果 、 谷歌纷纷向这国低头"
"Thailand",173,15.0000,100.0000,"https://www.lesaffaires.com/secteurs/manufacturier/commerce-international-la-meilleure-alternative-aux-etats-unis-et-a-la-chine/","","Commerce international : la meilleure alternative aux États - Unis et à la Chine"
"Thailand",173,15.0000,100.0000,"https://www.philippinetimes.com/news/274827500/the-international-innovation-awards-iia-2024-confers-the-innocube-to-51-outstanding-innovations","","The International Innovation Awards ( IIA ) 2024 Confers the InnoCube to 51 Outstanding Innovations"
"Bali, Jawa Timur, Indonesia",168,-7.1046,112.3370,"https://hijau.bisnis.com/read/20241206/651/1822176/di-hadapan-jepang-pemerintah-indonesia-sebut-berhasil-kurangi-128-juta-ton-emisi-karbon-pada-2023","https://images.bisnis.com/posts/2024/12/06/1822176/1882024-bi-ptb-01-energi_terbarukan-6_1727595199.jpg","Di Hadapan Jepang , Pemerintah Indonesia Sebut Berhasil Kurangi 128 Juta Ton Emisi Karbon pada 2023"
"Bali, Jawa Timur, Indonesia",168,-7.1046,112.3370,"https://nasional.kompas.com/read/2024/12/06/15491461/mary-jane-akan-dipulangkan-ke-filipina-sebelum-natal-2024","https://asset.kompas.com/crops/spiFycgXqw-q4Nn1fRsSVPAzPWk=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2024/12/06/6752b0bd46e4b.jpg","Mary Jane Akan Dipulangkan Ke Filipina Sebelum Natal 2024"
"Bali, Jawa Timur, Indonesia",168,-7.1046,112.3370,"https://bali.pikiran-rakyat.com/olahraga/pr-3758849300/timnas-indonesia-dinilai-tak-serius-tampil-di-piala-aff-2024-menpora-buka-suara","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/11/29/2308683247.jpg","Timnas Indonesia Dinilai Tak Serius Tampil di Piala AFF 2024 , Menpora Buka Suara"
"Bali, Jawa Timur, Indonesia",168,-7.1046,112.3370,"https://bali.jpnn.com/hukum/31652/bali-rutin-dipakai-wna-buronan-masuk-indonesia-ini-catatan-ncb-interpol","https://cloud.jpnn.com/photo/bali/news/normal/2023/09/02/bule-rusia-buron-interpol-pm-dijemput-penyidik-polda-bali-se-vode.jpg","Bali Rutin Dipakai WNA Buronan Masuk Indonesia , Ini Catatan NCB Interpol"
"Australia",156,-25.0000,135.0000,"https://www.mymotherlode.com/news/asia/3468053/indonesia-agrees-to-repatriate-filipino-woman-who-spent-years-on-death-row-over-drug-trafficking.html","https://www.mymotherlode.com/wp-content/uploads/2024/12/AP_872633642fd44ef8bb2bc3c68f0139ca_93e6176545.jpg","Indonesia agrees to repatriate Filipino woman who spent years on death row over drug trafficking"
"Australia",156,-25.0000,135.0000,"https://www.dailymail.co.uk/news/article-14164597/Bali-Nine-fresh-pictures-Matthew-Norman-Si-Yi-Chen.html","https://i.dailymail.co.uk/1s/2024/12/06/09/92864227-0-image-m-22_1733476067920.jpg","Fresh pictures of Bali Nine members Matthew Norman and Si - Yi Chen inside jail stoke speculation their release could be imminent"
"India",142,20.0000,77.0000,"https://wartasambasraya.pikiran-rakyat.com/otomotif/pr-1408851322/teknisi-ahass-siap-adu-keterampilan-di-asia-oceania","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/808061068.jpg","Teknisi AHASS Siap Adu Keterampilan di Asia Oceania"
"India",142,20.0000,77.0000,"https://www.antaranews.com/berita/4517146/bos-aliansi-vaksin-apresiasi-perhatian-prabowo-terhadap-anak-indonesia","https://cdn.antaranews.com/cache/1200x800/2024/12/06/IMG-20241206-WA0024_1.jpg","Bos aliansi vaksin apresiasi perhatian Prabowo terhadap anak Indonesia"
"India",142,20.0000,77.0000,"https://www.antaranews.com/berita/4516033/peneliti-nilai-skema-kur-dapat-diterapkan-untuk-energi-terbarukan","https://cdn.antaranews.com/cache/1200x800/2024/11/01/petani-milenial-manfaatkan-energi-surya-di-gowa-01112024-hs-2.jpg","Peneliti nilai skema KUR dapat diterapkan untuk energi terbarukan"
"India",142,20.0000,77.0000,"https://www.rga.de/wissen/silvester-2024-wann-beginnt-das-jahr-2025-in-welchem-land-DTBFMHZZNVG5FMCCTRYFJKUOYI.html","https://www.rga.de/resizer/v2/5EVPWB2WYZARDGTCOEUIF6Q4WQ.jpg?auth=8e2d6877bc7e8761b28f5a36e4a9987e099bd4e67a158f5fa981e3a15c04bd7e&quality=70&smart=true","Silvester 2024 : Wann beginnt das Jahr 2025 in welchem Land ?"
"Malaysia",136,2.5000,112.5000,"https://www.lesaffaires.com/secteurs/manufacturier/commerce-international-la-meilleure-alternative-aux-etats-unis-et-a-la-chine/","","Commerce international : la meilleure alternative aux États - Unis et à la Chine"
"Malaysia",136,2.5000,112.5000,"https://mp.weixin.qq.com/s/i8JQSk0DXF7ihzudFHEStA","https://mmbiz.qpic.cn/sz_mmbiz_jpg/ib8PiaWBFh89BT0e0j8Jo5CxIQMxBibIcu65fdBqpGheN1DQDOTxQK4GNKibF22Mu6uiamOSXvRTxez7NWhEAmwh2ug/0?wx_fmt=jpeg",""
"Malaysia",136,2.5000,112.5000,"https://thesun.my/world-news/crocodile-mauls-indonesia-plantation-worker-to-death-CI13390200","https://thesun.my/binrepository/480x320/0c35/480d250/none/11808/OJJE/looking-into-face-alligator-louisiana_4789909_20241206142430.jpg","Crocodile mauls Indonesia plantation worker to death"
"Malaysia",136,2.5000,112.5000,"https://www.channelstv.com/2024/12/06/crocodile-mauls-indonesia-plantation-worker-to-death/","https://www.channelstv.com/wp-content/uploads/2023/05/crocodile.jpg","Crocodile Mauls Indonesia Plantation Worker To Death"
"Philippine, Benguet, Philippines",124,16.4500,120.5500,"https://www.goulburnpost.com.au/story/8840380/indonesia-to-repatriate-filipina-held-on-death-row/?cs=14264","https://www.goulburnpost.com.au/images/transform/v1/crop/frm/silverstone-feed-data/40a0aa60-4d35-4f6b-bb4f-d39e18636f4a.jpg/r0_90_800_510_w1200_h630_fmax.jpg","Indonesia to repatriate Filipina held on death row"
"Philippine, Benguet, Philippines",124,16.4500,120.5500,"https://www.hometownregister.com/news/national/indonesia-philippines-agree-on-repatriation-of-filipina-on-death-row/article_946421d6-bd6e-576b-a7a5-1086e5834bca.html","https://bloximages.chicago2.vip.townnews.com/hometownregister.com/content/tncms/assets/v3/editorial/e/1c/e1c68da6-5ce7-52ec-9652-1d0056a0285e/6752cf130e208.image.jpg?crop=341%2C341%2C85%2C0","Indonesia , Philippines agree on repatriation of Filipina on death row"
"Vietnam",123,16.1667,107.8333,"https://www.aboluowang.com/2024/1206/2140845.html","https://m1.aboluowang.com/uploadfile/2024/1204/20241204140333496.jpg","苹果 、 谷歌纷纷向这国低头"
"Vietnam",123,16.1667,107.8333,"https://www.zaobao.com.sg/news/sea/story20241206-5531728","https://static.zaobao.com.sg/s3fs-public/styles/article_large_crop/public/articles/2024/12/06/FILES-MYANMAR-THAILAND-CRIME-070808_0.jpg?VersionId=MLMG9KklDLXC8JvhnKGWtG5pmqPvGsPT&itok=xltqCk0u","东南亚成全球诈骗行业中心 人权组织呼吁加紧取缔犯罪团伙"
"Vietnam",123,16.1667,107.8333,"https://www.lesaffaires.com/secteurs/manufacturier/commerce-international-la-meilleure-alternative-aux-etats-unis-et-a-la-chine/","","Commerce international : la meilleure alternative aux États - Unis et à la Chine"
"Singapore",112,1.3667,103.8000,"https://www.merdeka.com/gaya/sering-dikira-brand-luar-ini-10-brand-fashion-asli-indonesia-yang-mendunia-228816-mvk.html","https://cdns.klimg.com/mav-prod-resized/0x0/ori/newsCover/2024/12/6/1733493847351-bhmfp.jpeg","Sering Dikira Brand Luar , Ini 10 Brand Fashion Asli Indonesia yang Mendunia"
"Singapore",112,1.3667,103.8000,"https://www.pikiran-rakyat.com/bola/pr-018851801/jadwal-lengkap-piala-aff-2024-fase-grup-kamboja-vs-malaysia-jadi-laga-pembuka-myamnar-vs-indonesia-hari-ke-2","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/11/24/1459949303.jpg","Jadwal Lengkap Piala AFF 2024 Fase GRUP : Kamboja vs Malaysia Jadi Laga Pembuka , Myamnar vs Indonesia Hari Ke - 2"
"Surabaya, Jawa Timur, Indonesia",100,-7.2492,112.7510,"https://otomotif.bisnis.com/read/20241205/275/1822139/toyota-eco-youth-tey-ke-13-masuk-tahap-pendampingan-25-finalis","https://images.bisnis.com/posts/2024/12/05/1822139/befunky_2024-11-5_11-47-39_1733460623.jpg","Toyota Eco Youth ( TEY ) ke - 13 Masuk Tahap Pendampingan 25 Finalis"
"Surabaya, Jawa Timur, Indonesia",100,-7.2492,112.7510,"https://jurnalmakassar.pikiran-rakyat.com/trending/pr-828850775/puncak-perayaan-honda-culture-indonesia-2024-akan-berlangsung-di-surabaya","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/11/17/3873530570.jpeg","Puncak Perayaan Honda Culture Indonesia 2024 Akan Berlangsung di Surabaya"
"Surabaya, Jawa Timur, Indonesia",100,-7.2492,112.7510,"https://bali.jpnn.com/hukum/31652/bali-rutin-dipakai-wna-buronan-masuk-indonesia-ini-catatan-ncb-interpol","https://cloud.jpnn.com/photo/bali/news/normal/2023/09/02/bule-rusia-buron-interpol-pm-dijemput-penyidik-polda-bali-se-vode.jpg","Bali Rutin Dipakai WNA Buronan Masuk Indonesia , Ini Catatan NCB Interpol"
"Israel",98,31.5000,34.7500,"https://www.metrotvnews.com/read/NG9C3Voa-indonesia-kecam-serangan-israel-ke-rs-gaza-dan-picu-evakuasi-tim-medis-mer-c","https://cdn01.metrotvnews.com/content/2024/12/07/NG9C3Voa/t_67533dba9fcf3.jpg","Indonesia Kecam Serangan Israel ke RS Gaza dan Picu Evakuasi Tim Medis MER - C"
"Israel",98,31.5000,34.7500,"https://editornews.pikiran-rakyat.com/berita/pr-1318850640/tentara-israel-paksa-relawan-medis-mer-c-indonesia-tinggalkan-rs-kamal-adwan","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/2839816223.jpg","Tentara Israel Paksa Relawan Medis MER - C Indonesia Tinggalkan RS Kamal Adwan"
"Brazil",92,-10.0000,-55.0000,"https://www.antaranews.com/berita/4516033/peneliti-nilai-skema-kur-dapat-diterapkan-untuk-energi-terbarukan","https://cdn.antaranews.com/cache/1200x800/2024/11/01/petani-milenial-manfaatkan-energi-surya-di-gowa-01112024-hs-2.jpg","Peneliti nilai skema KUR dapat diterapkan untuk energi terbarukan"
"Brazil",92,-10.0000,-55.0000,"https://en.antaranews.com/news/337237/govt-studying-brazil-china-poverty-alleviation-measures","https://cdn.antaranews.com/cache/1200x800/2024/12/06/IMG_20241206_162108.jpg","Govt studying Brazil , China poverty alleviation measures"
"Brazil",92,-10.0000,-55.0000,"https://www.ghanamma.com/2024/12/06/implications-of-foreign-direct-investment-on-the-shipping-sector/","","Implications of Foreign Direct Investment on the shipping sector"
"Brazil",92,-10.0000,-55.0000,"https://www.merdeka.com/peristiwa/foto-pemerintah-pelajari-jurus-china-dan-brasil-entaskan-kemiskinan-252878-mvk.html","https://cdns.klimg.com/mav-prod-resized/0x0/ori/newsCover/2024/12/6/1733499832401-mlhma.jpeg","FOTO : Pemerintah Pelajari Jurus China dan Brasil Entaskan Kemiskinan"
"France",76,46.0000,2.0000,"https://www.mymotherlode.com/news/asia/3468053/indonesia-agrees-to-repatriate-filipino-woman-who-spent-years-on-death-row-over-drug-trafficking.html","https://www.mymotherlode.com/wp-content/uploads/2024/12/AP_872633642fd44ef8bb2bc3c68f0139ca_93e6176545.jpg","Indonesia agrees to repatriate Filipino woman who spent years on death row over drug trafficking"
"France",76,46.0000,2.0000,"https://travel.kompas.com/read/2024/12/06/111100727/kala-dubes-perancis-terpukau-dengan-kereta-wisata-ambarawa","https://asset.kompas.com/crops/lwT3fjwAC-2_bXN2rEyGt7o49dM=/0x0:1800x1200/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2023/03/07/6406c29e19d6a.jpg","Kala Dubes Perancis Terpukau dengan Kereta Wisata Ambarawa ..."
"France",76,46.0000,2.0000,"https://www.goulburnpost.com.au/story/8840380/indonesia-to-repatriate-filipina-held-on-death-row/?cs=14264","https://www.goulburnpost.com.au/images/transform/v1/crop/frm/silverstone-feed-data/40a0aa60-4d35-4f6b-bb4f-d39e18636f4a.jpg/r0_90_800_510_w1200_h630_fmax.jpg","Indonesia to repatriate Filipina held on death row"
"Kalimantan, Indonesia (General), Indonesia",74,1.6167,109.1830,"https://economy.okezone.com/read/2024/12/06/455/3092971/gelar-pertemuan-dengan-pengusaha-jepang-di-istana-prabowo-sebut-nama-haji-isam","","Gelar Pertemuan dengan Pengusaha Jepang di Istana , Prabowo Sebut Nama Haji Isam : Okezone Economy"
"Kalimantan, Indonesia (General), Indonesia",74,1.6167,109.1830,"https://www.kompas.com/stori/read/2024/10/24/140000179/proses-kedatangan-jepang-ke-indonesia","https://asset.kompas.com/crops/BBWi1g1ol0XlVoAbrHTAutXAiko=/0x0:700x467/780x390/data/photo/2022/04/19/625e46c81e8bc.jpeg","Proses Kedatangan Jepang ke Indonesia"
"Kalimantan, Indonesia (General), Indonesia",74,1.6167,109.1830,"https://www.jawapos.com/nasional/015394794/presiden-prabowo-kenalkan-pengusaha-terkemuka-kalimantan-haji-isam-ke-investor-jepang-di-istana","https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p2/01/2024/12/06/kenalkan-haji-isam-ke-investor-jepang-prabowo-pengusaha-terkemuka-kalimantan_246353-3031031379.jpg","Presiden Prabowo Kenalkan Pengusaha Terkemuka Kalimantan Haji Isam ke Investor Jepang di Istana"
"Kalimantan, Indonesia (General), Indonesia",74,1.6167,109.1830,"https://www.liputan6.com/news/read/5822736/depan-pengusaha-dan-investor-jepang-prabowo-sampaikan-rasa-optimis-akan-potensi-indonesia","https://cdn0-production-images-kly.akamaized.net/0wZtE7BeqPiekRVdqxTBc_u1cfc=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5038756/original/063360500_1733478372-IMG-20241206-WA0048.jpg","Depan Pengusaha dan Investor Jepang , Prabowo Sampaikan Rasa Optimis Akan Potensi Indonesia"
"Kalimantan, Indonesia (General), Indonesia",74,1.6167,109.1830,"https://ekbis.sindonews.com/read/1499257/34/prabowo-perkenalkan-haji-isam-anin-bakrie-dan-arsjad-rasjid-ke-investor-jepang-1733483522","https://pict.sindonews.net/dyn/850/pena/news/2024/12/06/34/1499257/prabowo-perkenalkan-haji-isam-anin-bakrie-dan-arsjad-rasjid-ke-investor-jepang-oxs.jpeg","Prabowo Perkenalkan Haji Isam , Anin Bakrie dan Arsjad Rasjid ke Investor Jepang"
"Bandung, Jawa Barat, Indonesia",73,-6.9039,107.6190,"https://www.merdeka.com/gaya/sering-dikira-brand-luar-ini-10-brand-fashion-asli-indonesia-yang-mendunia-228816-mvk.html","https://cdns.klimg.com/mav-prod-resized/0x0/ori/newsCover/2024/12/6/1733493847351-bhmfp.jpeg","Sering Dikira Brand Luar , Ini 10 Brand Fashion Asli Indonesia yang Mendunia"
"Bandung, Jawa Barat, Indonesia",73,-6.9039,107.6190,"https://www.wmxv1015.com/html/89f90099010.html","","klaseman liga 1 indonesia terbaru . bot spaceman wa . madam hackers - apk go win slot"
"Bandung, Jawa Barat, Indonesia",73,-6.9039,107.6190,"https://kepri.pikiran-rakyat.com/pendidikan/pr-2688849496/kampus-terbaik-di-jawa-barat-2024-21-unggul-41-terakreditasi-b","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/672320726.jpg","Kampus Terbaik di Jawa Barat 2024 : 21 Unggul , 41 Terakreditasi B"
"United Kingdom",72,54.0000,-4.0000,"https://jang.com.pk/news/1418151","https://jang.com.pk/assets/uploads/updates/2024-12-06/1418151_081112_updates.jpg","سعودی عرب میں ریڈ سی فلم فیسٹیول کا آغاز ، ہالی ووڈ اور بالی ووڈ ستاروں کی شرکت"
"United Kingdom",72,54.0000,-4.0000,"https://www.viva.co.id/english/1778891-prabowo-urges-japan-to-join-giant-sea-wall-project","https://thumb.viva.co.id/media/frontend/thumbs3/2024/12/06/6752ab10b8eeb-presiden-ri-prabowo-subianto_665_374.jpeg","Prabowo Urges Japan to Join Giant Sea Wall Project"
"United Kingdom",72,54.0000,-4.0000,"https://eturbonews.com/british-trade-soars-heathrows-best-cargo-month-5-years/","","British trade soars with Heathrow best cargo month in over 5 years"
"United Kingdom",72,54.0000,-4.0000,"https://www.miragenews.com/tra-to-review-tariffs-on-indonesian-biodiesel-1373058/","https://assets.publishing.service.gov.uk/media/675315a3dcabf976e5fb0076/s960_Biofuel3.jpg","TRA to Review Tariffs on Indonesian Biodiesel"
"Russia",72,60.0000,100.0000,"https://www.ridus.ru/rossotrudnichestvo-soyuz-rossii-i-indonezii-krepnet-blagodarya-shozhim-cennostyam-519819.html","https://www.ridus.ru/img/nophoto.jpg","Россотрудничество : союз России и Индонезии крепнет благодаря схожим ценностям"
"Germany",71,51.5000,10.5000,"http://world.people.com.cn/n1/2024/1206/c1002-40377095.html","","双方参演部队展开灾害救援实兵演练 -- 国际 -- 人民网"
"Germany",71,51.5000,10.5000,"https://jabar.pikiran-rakyat.com/bola/pr-3658851110/rizky-ridho-jadi-pemain-termahal-liga-1-transfermarkt-ungkap-nilai-fantastisnya","https://assets.pikiran-rakyat.com/crop/331x197:799x651/1200x675/photo/2024/12/03/2902638673.png","Rizky Ridho Jadi Pemain Termahal Liga 1 , Transfermarkt Ungkap Nilai Fantastisnya"
"Germany",71,51.5000,10.5000,"https://www.rga.de/wissen/silvester-2024-wann-beginnt-das-jahr-2025-in-welchem-land-DTBFMHZZNVG5FMCCTRYFJKUOYI.html","https://www.rga.de/resizer/v2/5EVPWB2WYZARDGTCOEUIF6Q4WQ.jpg?auth=8e2d6877bc7e8761b28f5a36e4a9987e099bd4e67a158f5fa981e3a15c04bd7e&quality=70&smart=true","Silvester 2024 : Wann beginnt das Jahr 2025 in welchem Land ?"
"Netherlands",68,52.5000,5.7500,"https://www.710wfnr.com/html/83f7299844.html","","Berapa umur Indonesia 2023 . DATA HK PAITO 6D 2024 bonus depo 25 . Y89 SLOTS slot maxwin olympus - qiu qiu pro versi lama"
"Netherlands",68,52.5000,5.7500,"https://www.kompas.com/stori/read/2024/10/24/140000179/proses-kedatangan-jepang-ke-indonesia","https://asset.kompas.com/crops/BBWi1g1ol0XlVoAbrHTAutXAiko=/0x0:700x467/780x390/data/photo/2022/04/19/625e46c81e8bc.jpeg","Proses Kedatangan Jepang ke Indonesia"
"Netherlands",68,52.5000,5.7500,"https://www.liputan6.com/feeds/read/5807840/cara-membuat-perkedel-tahu-panduan-lengkap-dan-variasi-resep","https://cdn1-production-images-kly.akamaized.net/85sTRllEZmUHINP2nBIHIcStTis=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5024438/original/002240600_1732615990-cara-membuat-perkedel-tahu.jpg","Cara Membuat Perkedel Tahu : Panduan Lengkap dan Variasi Resep"
"Netherlands",68,52.5000,5.7500,"https://www.antaranews.com/berita/4517368/belanda-pastikan-pemulangan-artefak-nusantara-sebelum-akhir-tahun","https://cdn.antaranews.com/cache/1200x800/2024/12/06/IMG_5730.jpg","Belanda pastikan pemulangan artefak Nusantara sebelum akhir tahun"
"South Korea",66,37.0000,127.5000,"https://entrepreneur.bisnis.com/read/20241206/265/1821851/sosok-di-balik-innisfree-brand-skincare-korea-yang-bakal-tutup-semua-gerai-di-indonesia","https://images.bisnis.com/posts/2024/12/06/1821851/innisfree_1733458694.jpg","Sosok di Balik Innisfree , Brand Skincare Korea yang Bakal tutup Semua Gerai di Indonesia"
"South Korea",66,37.0000,127.5000,"https://wartasambasraya.pikiran-rakyat.com/otomotif/pr-1408851322/teknisi-ahass-siap-adu-keterampilan-di-asia-oceania","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/808061068.jpg","Teknisi AHASS Siap Adu Keterampilan di Asia Oceania"
"South Korea",66,37.0000,127.5000,"https://www.tempo.co/teroka/xdinary-heroes-terkesan-dengan-energi-villains-di-spotify-wrapped-live-indonesia-2024-1178033","https://statik.tempo.co/data/2024/12/06/id_1359661/1359661_720.jpg","Xdinary Heroes Terkesan dengan Energi Villains di Spotify Wrapped Live Indonesia 2024"
"South Korea",66,37.0000,127.5000,"https://tekno.kompas.com/read/2024/12/06/13030097/youtube-rilis-daftar-10-topik-lagu-dan-kreator-paling-populer-di-indonesia-2024","https://asset.kompas.com/crops/-Ohx3Y7svP0Vt9IKxT49soFhGmQ=/0x0:994x663/780x390/filters:watermark(data/photo/2020/03/10/5e6775b82d394.png,0,-0,1)/data/photo/2022/07/29/62e32e63afee7.jpg","YouTube Rilis Daftar 10 Topik , Lagu , dan Kreator Paling Populer di Indonesia 2024"
"South Korea",66,37.0000,127.5000,"https://www.hani.co.kr/arti/area/area_general/1171369.html","https://flexible.img.hani.co.kr/flexible/normal/800/497/imgdb/original/2024/1206/20241206501704.jpg","비상계엄에 밤새 떤 외국인들 …\" 대통령 처벌해야 하지 않나요 \""
"Italy",62,42.8333,12.8333,"https://www.antaranews.com/berita/4516015/deby-vinski-dan-2-universitas-italia-mou-lakukan-riset-stem-cell","https://cdn.antaranews.com/cache/1200x800/2024/12/06/WhatsApp-Image-2024-12-06-at-07.27.36_20019d0f.jpg","Deby Vinski dan 2 universitas Italia MOU lakukan riset stem cell"
"Italy",62,42.8333,12.8333,"https://www.jawapos.com/kesehatan/015393489/dokter-deby-vinski-dan-2-universitas-italia-mou-lakukan-riset-stem-cell","https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p2/01/2024/12/06/Screenshot_2024-12-06-12-08-06-773_comwhatsapp-edit-29901179.jpg","Dokter Deby Vinski dan 2 Universitas Italia MOU Lakukan Riset Stem Cell"
"Yogyakarta, Yogyakarta, Indonesia",61,-7.7828,110.3610,"https://www.indonesia-investments.com/news/news-columns/indonesia-investments-releases-november-2024-report-demographics-economy/item9764","","Indonesia Investments Releases November 2024 Report : Demographics & Economy"
